Kodas,Pavadinimas
9215,Nekvalifikuoti miškų ūkio darbininkai
9216,Nekvalifikuoti žuvininkystės ir akvakultūros ūkio darbininkai
93,"Nekvalifikuoti gavybos, statybos, pramonės ir transporto darbininkai"
931,Nekvalifikuoti gavybos ir statybos darbininkai
9311,Nekvalifikuoti gavybos ir karjerų eksploatavimo darbininkai
9312,Nekvalifikuoti inžinerinių statinių statybos darbininkai
9313,Nekvalifikuoti pastatų statybos darbininkai
932,Nekvalifikuoti apdirbimo pramonės darbininkai
9321,Pakuotojai (rankomis)
9329,Kitur nepriskirti nekvalifikuoti apdirbimo pramonės darbininkai
933,Nekvalifikuoti transporto ir sandėliavimo darbininkai
9331,Rankinių ir pedalinių transporto priemonių vairuotojai
9332,Traukiančių transporto priemones ir mašinas gyvulių vadeliotojai
9333,Krovikai
9334,Prekių krovėjai į lentynas
94,Maisto ruošimo padėjėjai
941,Maisto ruošimo padėjėjai
9411,Greitojo maisto ruošėjai
9412,Virtuvės pagalbininkai
95,"Gatvės pardavėjai, gatvėje teikiamų paslaugų teikėjai"
951,Gatvėje teikiamų paslaugų teikėjai
9510,Gatvėje teikiamų paslaugų teikėjai
952,Ne maisto produktų gatvės pardavėjai
9520,Ne maisto produktų gatvės pardavėjai
96,Buitinių atliekų surinkėjai ir kiti nekvalifikuoti darbininkai
961,Buitinių atliekų surinkėjai
9611,Buitinių atliekų surinkėjai
9612,Buitinių atliekų rūšiuotojai
9613,Kiemsargiai ir giminiškų profesijų darbininkai
962,Kiti nekvalifikuoti darbininkai
9621,"Kurjeriai, pasiuntiniai ir bagažo nešikai"
9622,Nekvalifikuoti atsitiktinių darbų darbininkai
9623,Pinigų iš automatų surinkėjai ir matuoklių rodmenų tikrintojai
9624,Vandens vežikai ir malkų rinkėjai
9629,Kitur nepriskirti nekvalifikuoti darbininkai
0,Ginkluotųjų pajėgų profesijos
1,"Ginkluotųjų pajėgų karininkai, generolai ir admirolai"
11,"Ginkluotųjų pajėgų karininkai, generolai ir admirolai"
110,"Ginkluotųjų pajėgų karininkai, generolai ir admirolai"
2,"Ginkluotųjų pajėgų puskarininkiai, seržantai ir viršilos"
21,"Ginkluotųjų pajėgų puskarininkiai, seržantai ir viršilos"
210,"Ginkluotųjų pajėgų puskarininkiai, seržantai ir viršilos"
3,"Ginkluotųjų pajėgų profesijos, kiti laipsniai"
31,"Ginkluotųjų pajėgų profesijos, kiti laipsniai"
310,"Ginkluotųjų pajėgų profesijos, kiti laipsniai"
